                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4936,                 2.3764,                 2.8347,                0.36354,                0.46921,                0.37852,                0.12531,                 2.1851,                 2.3973,                 2.5813,                  8e-05,                  8e-05,                  8e-05
                      2,                 2.5846,                 2.4298,                 2.9078,                0.26815,                 0.4711,                0.33251,                0.09918,                 2.3043,                 2.5527,                 2.7031,             0.00017941,             0.00017941,             0.00017941
                      3,                 2.6131,                 2.5322,                 2.8764,                0.37703,                0.41667,                0.33877,                0.11017,                 2.2697,                 2.4783,                 2.7059,             0.00027815,             0.00027815,             0.00027815
                      4,                 2.6564,                  2.524,                 2.8751,                0.35253,                0.36905,                0.32528,                0.10887,                 2.3145,                 2.6005,                 2.7751,             0.00037624,             0.00037624,             0.00037624
                      5,                 2.6737,                 2.4773,                  2.915,                0.33967,                0.46429,                0.33289,                0.10815,                 2.2545,                 2.4793,                 2.5997,             0.00047366,             0.00047366,             0.00047366
                      6,                 2.5428,                 2.3751,                 2.8404,                0.28871,                0.49289,                0.32073,                0.10965,                 2.2224,                 2.3902,                 2.5535,             0.00057043,             0.00057043,             0.00057043
                      7,                 2.5533,                 2.5052,                 2.8314,                0.31899,                0.40708,                0.33704,                 0.1042,                 2.3014,                 2.5436,                 2.5956,             0.00066654,             0.00066654,             0.00066654
                      8,                 2.6001,                 2.5384,                 2.8717,                0.25712,                0.38095,                0.27583,                0.08955,                 2.2468,                 2.3801,                 2.5898,             0.00076198,             0.00076198,             0.00076198
                      9,                  2.567,                  2.669,                 2.8408,                0.31975,                0.40476,                0.31028,                0.08836,                 2.3024,                 2.4595,                 2.7085,             0.00085677,             0.00085677,             0.00085677
                     10,                 2.4798,                 2.4949,                 2.8615,                0.24775,                0.32143,                0.23461,                0.06458,                 2.4088,                 2.5393,                  2.802,             0.00095089,             0.00095089,             0.00095089
                     11,                 2.5058,                 2.5309,                 2.9246,                0.32086,                   0.25,                0.20681,                0.06826,                 2.3105,                 2.6744,                 2.7641,              0.0010444,              0.0010444,              0.0010444
                     12,                 2.6124,                 2.4938,                 2.9236,                0.36736,                0.34565,                0.30221,                0.09169,                 2.2077,                 2.5924,                 2.6602,              0.0011372,              0.0011372,              0.0011372
                     13,                 2.4287,                 2.4962,                 2.8283,                0.34992,                0.40476,                0.31923,                0.09661,                 2.1908,                 2.5207,                  2.637,              0.0012293,              0.0012293,              0.0012293
                     14,                 2.5322,                 2.4019,                 2.7882,                0.31604,                0.41667,                0.27554,                0.09586,                 2.1722,                 2.4695,                 2.6056,              0.0013208,              0.0013208,              0.0013208
                     15,                 2.4386,                 2.5262,                 2.7462,                0.26052,                   0.25,                0.21159,                 0.0658,                 2.2889,                 2.7255,                 2.6857,              0.0014116,              0.0014116,              0.0014116
                     16,                  2.593,                 2.5488,                 2.9016,                0.31259,                0.36905,                 0.3144,                0.09175,                 2.2643,                 2.4991,                 2.6481,              0.0015018,              0.0015018,              0.0015018
                     17,                 2.5162,                 2.7056,                 2.8227,                0.29736,                0.33333,                0.31415,                0.10163,                 2.2862,                 2.7058,                 2.7091,              0.0015913,              0.0015913,              0.0015913
                     18,                 2.5169,                 2.5771,                 2.8691,                0.27072,                0.36905,                0.26775,                0.08989,                 2.2661,                 2.8679,                 2.7246,              0.0016801,              0.0016801,              0.0016801
                     19,                 2.5281,                 2.5519,                 2.8967,                0.23856,                 0.2611,                0.14179,                 0.0491,                 2.3425,                 3.2378,                 2.8746,              0.0017683,              0.0017683,              0.0017683
                     20,                 2.5543,                 2.4447,                 2.8442,                0.01298,                0.55952,                0.01667,                0.00486,                 2.5209,                 3.7536,                 3.4413,              0.0018559,              0.0018559,              0.0018559
                     21,                 2.6755,                 2.6392,                 2.9244,                0.01679,                0.71429,                0.02985,                0.00874,                 2.5028,                 3.4867,                 3.4059,               0.001868,               0.001868,               0.001868
                     22,                 2.3726,                 2.5193,                 2.7898,                0.13063,                0.17857,                0.07103,                0.01894,                 2.5946,                  3.065,                 3.3891,               0.001868,               0.001868,               0.001868
                     23,                 2.6101,                 2.5808,                 2.9269,                0.16753,                0.20238,                0.10433,                 0.0282,                  2.698,                 2.8428,                  3.414,              0.0018614,              0.0018614,              0.0018614
                     24,                 2.4821,                 2.4259,                 2.8421,                0.26756,                0.39286,                0.24846,                0.08175,                 2.1969,                 2.5364,                 2.8875,              0.0018548,              0.0018548,              0.0018548
                     25,                 2.4171,                 2.4756,                 2.7384,                0.31658,                0.44048,                0.26697,                0.08705,                 2.1932,                 2.3979,                 2.6934,              0.0018482,              0.0018482,              0.0018482
                     26,                 2.4503,                 2.5083,                 2.7592,                0.32791,                0.28571,                 0.1958,                0.05656,                 2.3467,                 3.0263,                  2.897,              0.0018416,              0.0018416,              0.0018416
                     27,                  2.538,                   2.58,                 2.8025,                0.12956,                 0.2381,                0.08393,                0.02212,                 2.4444,                 2.9153,                 2.9919,               0.001835,               0.001835,               0.001835
                     28,                 2.6013,                 2.5426,                 2.8464,                0.18528,                0.32143,                0.14893,                0.03596,                   2.39,                 3.6221,                 2.9214,              0.0018284,              0.0018284,              0.0018284
                     29,                   2.55,                 2.5027,                 2.8029,                0.11742,                0.42857,                0.12502,                0.03022,                 2.4573,                 7.7446,                 3.2901,              0.0018218,              0.0018218,              0.0018218
                     30,                  2.281,                  2.436,                 2.6862,                0.30057,                0.30952,                0.22843,                 0.0613,                 2.3547,                 5.8751,                 2.9849,              0.0018152,              0.0018152,              0.0018152
                     31,                 2.4723,                 2.6594,                 2.8025,                0.33558,                0.30952,                0.26982,                0.08199,                 2.3086,                   6.22,                 2.8569,              0.0018086,              0.0018086,              0.0018086
                     32,                 2.4219,                 2.4897,                  2.816,                 0.2672,                0.35714,                0.23984,                0.08926,                  2.148,                 5.2433,                 2.5539,               0.001802,               0.001802,               0.001802
                     33,                 2.4047,                 2.4968,                 2.6963,                0.28614,                0.36905,                  0.267,                0.09451,                 2.1776,                 3.4777,                 2.5232,              0.0017954,              0.0017954,              0.0017954
                     34,                 2.5127,                 2.5074,                 2.7505,                0.13215,                0.27381,                0.11986,                0.04484,                 2.1976,                 2.9054,                 2.5322,              0.0017888,              0.0017888,              0.0017888
                     35,                 2.4271,                  2.628,                 2.7673,                0.09071,                0.08333,                0.05864,                0.02077,                 2.4534,                 3.6291,                 2.9149,              0.0017822,              0.0017822,              0.0017822
                     36,                 2.4287,                 2.5278,                 2.7416,                0.24472,                0.14286,                0.12009,                0.03944,                 2.2476,                 3.4797,                 2.7523,              0.0017756,              0.0017756,              0.0017756
                     37,                  2.432,                 2.4893,                 2.7518,                0.16759,                 0.2619,                0.16549,                0.05467,                 2.3142,                 2.8024,                 2.7422,               0.001769,               0.001769,               0.001769
                     38,                 2.4966,                 2.4768,                  2.742,                0.30243,                 0.2381,                0.21792,                 0.0691,                 2.4037,                 2.5066,                 2.7969,              0.0017624,              0.0017624,              0.0017624
                     39,                 2.3509,                 2.4489,                  2.663,                0.27415,                0.40476,                0.28034,                0.08334,                 2.3638,                 2.3644,                 2.7433,              0.0017558,              0.0017558,              0.0017558
                     40,                 2.5011,                 2.5079,                 2.8104,                0.40316,                0.38095,                0.38575,                0.12037,                 2.1812,                 2.4356,                 2.5679,              0.0017492,              0.0017492,              0.0017492
                     41,                 2.3502,                 2.2646,                 2.7097,                0.30893,                0.33333,                0.25385,                 0.0817,                 2.2457,                 2.7037,                 2.6435,              0.0017426,              0.0017426,              0.0017426
                     42,                 2.3413,                  2.353,                 2.7164,                 0.1028,                0.20238,                0.13022,                0.03643,                 2.3027,                 2.9765,                 2.7383,               0.001736,               0.001736,               0.001736
                     43,                  2.476,                 2.3837,                 2.7606,                0.17816,                0.22619,                0.13336,                0.03646,                 2.3614,                 3.2318,                 2.8221,              0.0017294,              0.0017294,              0.0017294
                     44,                  2.561,                 2.4252,                 2.8293,                 0.1294,                 0.2381,                0.11355,                0.03804,                  2.221,                 3.1671,                 2.6594,              0.0017228,              0.0017228,              0.0017228
                     45,                 2.3756,                  2.331,                 2.7854,                0.18661,                0.35714,                0.15576,                0.05396,                 2.2153,                 2.7335,                  2.633,              0.0017162,              0.0017162,              0.0017162
                     46,                 2.4409,                 2.3259,                 2.7943,                 0.1745,                0.39286,                0.17859,                0.05022,                 2.2115,                 2.6388,                 2.6179,              0.0017096,              0.0017096,              0.0017096
                     47,                 2.4223,                 2.3392,                 2.7673,                 0.1371,                0.36905,                0.13182,                0.03866,                 2.3134,                 2.8959,                 2.7282,               0.001703,               0.001703,               0.001703
                     48,                 2.4669,                 2.4612,                 2.7563,                 0.2733,                0.28571,                0.22006,                0.07166,                 2.3368,                 2.6664,                 2.7412,              0.0016964,              0.0016964,              0.0016964
                     49,                 2.3857,                 2.4137,                 2.7525,                0.29889,                0.30952,                0.24776,                0.08215,                 2.1968,                 2.4512,                  2.645,              0.0016898,              0.0016898,              0.0016898
                     50,                 2.5282,                 2.3459,                 2.8504,                0.23968,                0.42857,                0.20662,                0.07231,                 2.1172,                 2.5433,                  2.659,              0.0016832,              0.0016832,              0.0016832
                     51,                 2.3502,                 2.4544,                  2.708,                 0.2156,                0.33333,                0.21052,                0.06181,                 2.1426,                 2.5339,                 2.6801,              0.0016766,              0.0016766,              0.0016766
